product_name,ingredients,product_type,price,price_pkr,image_url,product_url,suited_age_groups,suited_genders,suited_skin_types,suited_sensitivity,suited_climates,suited_concerns,suited_severity_levels
Extra Brightening Ubtan Foaming Face Wash 150ml,"Ubtan: Helps cleanse and refresh dull-looking skin.; Licorice: Supports a brighter, more even tone appearance.; Turmeric: Helps purify and soothe skin.",Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102060199_1_jpg_763921a9-8ef1-43d9-89e0-555ab7a5b19c.jpg?v=1771267250,https://pk.hemaniherbals.com/products/extra-brightening-ubtan-foaming-face-wash-150ml,14-18|19-24|25-36|37-45|45+,male|female,normal|oily|combination,no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dark spots|dullness|hyperpigmentation|open pores|redness|sun tan|whiteheads / blackheads,mild|moderate
Brightening Beauty Cream Gold,brightening; face cream; gold; moisturizer; skin care,Cream,590.0,Rs.590.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001305224_.3jpg.jpg?v=1772528065,https://pk.hemaniherbals.com/products/brightening-beauty-cream-gold,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",dullness|dark spots|hyperpigmentation|sun tan,mild|moderate
Advance Brightening Face & Body Lotion 100ml,Moisturizing agents: Support skin softness and hydration,Lotion,275.0,Rs.275.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001507246_1_jpg_7433398e-7ea5-4bc7-a3f0-c4f5836f2a6c.jpg?v=1781088676,https://pk.hemaniherbals.com/products/advance-brightening-face-body-lotion,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes,"hot and humid (e.g., karachi)|dry and hot|cold and dry",dullness|dark spots|hyperpigmentation|sun tan|wrinkles,mild|moderate
Rose Glow Expert Foaming Face Wash 150ml,Bulgarian Rose Extract: Helps soothe and brighten skin,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102814129_1_jpg.jpg?v=1771269163,https://pk.hemaniherbals.com/products/rose-glow-expert-foaming-face-wash-150ml,14-18|19-24|25-36|37-45|45+,male|female,normal|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dark spots|dullness|hyperpigmentation|open pores|redness|sun tan|whiteheads / blackheads,mild|moderate
Oil Control Lemon Face Wash 100ml,Lemon Extract: Known for refreshing properties,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/5907747205864A_1_jpg_c856931b-c655-44b7-99fc-b499500b8d70.jpg?v=1771268685,https://pk.hemaniherbals.com/products/oil-control-lemon-face-wash-100ml,14-18|19-24|25-36,male|female,oily|combination,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|open pores|whiteheads / blackheads,mild|moderate
Intensive Care Therapy - Aloe Vera Gel 150ml (Jar),"Aloe Vera: Hydrates, soothes, and supports skin recovery.",Gel,835.0,Rs.835.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001505266_2_jpg.jpg?v=1772098399,https://pk.hemaniherbals.com/products/intensive-care-therapy-aloe-vera-gel-150ml-jar,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dullness|redness|sun tan,mild|moderate
Herbal Rose with Aloe Vera Water Spray 120ml,Aloe Vera Extract: Helps soothe and hydrate skin.; Rose Essence: Refreshes and revitalizes complexion.; Purified Water Base: Ensures lightweight feel.,Face Mist,310.0,Rs.310.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102067068_1_jpg.jpg?v=1771267978,https://pk.hemaniherbals.com/products/herbal-rose-with-aloe-vera-water-spray-120ml,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes|no,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dullness|redness,mild
Anti Acne Neem Foaming Face Wash 150ml,Neem Extract: Helps purify skin and support a clearer look.; Glycerin: Maintains moisture balance.; Foaming Cleansers: Remove dirt and oil gently.,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102060168_1_jpg_ab5f9740-4f44-425c-a26d-ab39f8d55b1f.jpg?v=1781091043,https://pk.hemaniherbals.com/products/anti-acne-neem-foaming-face-wash-150ml,14-18|19-24|25-36|37-45|45+,male|female,oily|combination,yes,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|open pores|whiteheads / blackheads,mild|moderate|severe
Fragrance Free Soap 75g,Natural Soap Base; cleanses skin gently.; Free of Added Fragrance; ideal for sensitive skin.; No Colour Additives; pure and simple formula.; Available in a fragrance; free format suited to everyday cleansing and minimal sensory preferences.,Soap,255.0,Rs.255.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102819209_2_jpg_27349505-a4b8-4b57-b904-b593e099e5f6.jpg?v=1771267391,https://pk.hemaniherbals.com/products/fragrance-free-soap-75g,14-18|19-24,female,normal|sensitive,yes,dry and hot,acne|open pores|redness,mild
SPF 50 Sun Block Cream 50ml,SPF 50 – High-level protection against harmful UVA rays.; Hyaluronic Acid – Deeply hydrates and helps maintain skin elasticity.; Vitamin E – Provides antioxidant defense and supports skin repair.,Sunscreen,730.0,Rs.730.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8681475384509_2_jpg.jpg?v=1771999120,https://pk.hemaniherbals.com/products/spf-50-sun-block-cream-50ml,14-18|19-24|25-36|37-45,male|female,normal|combination,no,"hot and humid (e.g., karachi)|dry and hot",sun tan|wrinkles,mild|moderate
Rose Lip Balm Chapstick,lip balm; lip care; makeup; rose; vitamin e,Lip Care,245.0,Rs.245.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102066986_1_jpg.jpg?v=1771269169,https://pk.hemaniherbals.com/products/rose-lip-balm-chapstick,14-18|19-24|25-36|37-45|45+,male|female,normal|dry|oily|combination,yes,"hot and humid (e.g., karachi)|dry and hot|cold and dry",dullness|redness,mild|moderate
Age Control Cleansing Milk 200ml,anti aging; brightening; face wash; skin care,Face Wash,792.0,Rs.792.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001507574_1_jpg_476c068c-16c3-4cd6-9300-7627f14a78d6.jpg?v=1781089117,https://pk.hemaniherbals.com/products/age-control-cleansing-milk,19-24|25-36,female,normal|combination,no,dry and hot,dullness|hyperpigmentation|wrinkles,mild|moderate
Insta Bright Expert Foaming Face Wash 150ml,Vitamin C: Supports brightness and clarity; Hyaluronic Acid: Maintains hydration,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102814150_1_jpg.jpg?v=1771268123,https://pk.hemaniherbals.com/products/insta-bright-expert-foaming-face-wash-150ml,19-24|25-36,female,normal|combination,no,"hot and humid (e.g., karachi)|dry and hot",dullness|hyperpigmentation,mild|moderate
ROSIE Premium Face Mist 50ml,50ml; brightening; skin care,Face Mist,405.0,Rs.405.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964002911387_1_jpg_af00f2f2-0b2d-4b93-a0e3-91a69f611142.jpg?v=1771269182,https://pk.hemaniherbals.com/products/rosie-premium-face-mist-50ml,19-24|25-36,female,normal|combination,no,"hot and humid (e.g., karachi)|dry and hot",dullness|hyperpigmentation,mild|moderate
Anti Wrinkle Sandalwood Face Wash 100ml,Sandalwood Extract: Helps soothe and refresh skin.; Glycerin: Maintains hydration balance.; Foaming Base: Cleanses gently.,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102814464_1_jpg.jpg?v=1771266333,https://pk.hemaniherbals.com/products/anti-wrinkle-sandalwood-face-wash-100ml,19-24|25-36,female,normal|combination,no,dry and hot,dullness|wrinkles,mild|moderate
Anti Wrinkle Sandal Foaming Face Wash 150ml,Sandalwood Extract: Helps soothe and refresh skin.; Glycerin: Maintains hydration balance.; Foaming Base: Cleanses gently.,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102061356_1_jpg_33bd71fc-7f92-4cd6-a8aa-b4ff94de9f3e.jpg?v=1781091567,https://pk.hemaniherbals.com/products/anti-wrinkle-sandal-foaming-face-wash-150ml,25-36|37-45|45+,male|female,normal|dry|oily|combination,yes,"hot and humid (e.g., karachi)|dry and hot|cold and dry",acne|dark spots|dullness|open pores|redness|whiteheads / blackheads|wrinkles,mild|moderate|severe
Advance Brightening Cream for Women,Moisturizing Base: Supports hydration and smoothness.; Brightening Complex: Helps improve tone appearance.,Cream,215.0,Rs.215.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001505013_2_jpg.jpg?v=1781088643,https://pk.hemaniherbals.com/products/advance-brightening-cream-for-women,19-24|25-36,female,normal|combination,no,dry and hot,dullness|hyperpigmentation,mild|moderate
Clear Face Expert Foaming Face Wash 150ml,Tea Tree Extract: Helps maintain clearer; looking skin,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102814136_1_jpg.jpg?v=1771266891,https://pk.hemaniherbals.com/products/clear-face-expert-foaming-face-wash-150ml,19-24,female|male,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|open pores|redness,mild|moderate
Purifying Turmeric Foaming Face Wash 150ml,Turmeric Extract: Helps purify and soothe skin.; Glycerin: Supports moisture balance.; Foaming Cleansers: Lift away impurities gently.,Face Wash,625.0,Rs.625.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102060182_1_jpg_bb968d4f-6acf-41b3-a152-4ab5559cff62.jpg?v=1771269084,https://pk.hemaniherbals.com/products/purifying-turmeric-foaming-face-wash-150ml,14-18|19-24,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|open pores|redness,mild|moderate
Moisturizing Olive Face Wash 100ml,Olive Extract: Helps nourish and moisturize skin.; Gentle Cleansing Base: Supports skin comfort.,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/MoisturizingOliveFaceWash.jpg?v=1772015333,https://pk.hemaniherbals.com/products/moisturizing-olive-face-wash,19-24|25-36,female,normal|dry,no,dry and hot,dullness,mild
Acne & Blemish Control Face Wash 150ml,Salicylic Acid – helps clear clogged pores.; Neem Extract – supports reduction of blemishes and inflammation.; Tea Tree & Green Tea – help control acne and balance skin.,Face Wash,720.0,Rs.720.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102815492_1_jpg.jpg?v=1781088233,https://pk.hemaniherbals.com/products/acne-blemish-control-face-wash-150ml,14-18|19-24,female,oily|combination,no,"hot and humid (e.g., karachi)|dry and hot",acne|open pores|whiteheads / blackheads,mild|moderate
Naturistic - Eyelash Serum,Argan Oil: Valued for conditioning properties.; Castor Oil: Supports lash nourishment.; Vitamin E: Helps maintain lash strength.,Serum,760.0,Rs.760.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001505341_2_jpg.jpg?v=1772096443,https://pk.hemaniherbals.com/products/naturistic-eyelash-serum,19-24|25-36,female,normal|dry,no,dry and hot,dullness|wrinkles,mild|moderate
Char Glow Face Wash 100ml,Activated Charcoal: Helps pull out impurities from deep within pores.; Natural Cleansing Agents: Assist in removing excess oil and dirt.; Hydration Support: Leaves skin feeling soft and refreshed.,Face Wash,490.0,Rs.490.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102817007_1_jpg.jpg?v=1771266857,https://pk.hemaniherbals.com/products/char-glow-face-wash-100ml,14-18|19-24|25-36,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|open pores|whiteheads / blackheads,mild|moderate
Moisturizing Face & Body Lotion with Vitamin E,Vitamin E: Supports skin conditioning and moisture retention,Lotion,275.0,Rs.275.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001507284_1_jpg_a3b4834d-49f5-4da7-9070-6f216eb89fdf.jpg?v=1771268409,https://pk.hemaniherbals.com/products/moisturizing-face-body-lotion-with-vitamin-e,19-24|25-36,female,normal|dry,no,dry and hot,dullness|dryness,mild
Age Rewind Face Serum with 20% Vitamin C & Hyaluronic Acid | Aijaz Aslam 30ml,Vitamin C (10%): Supports brightness and antioxidant defense.; Hyaluronic Acid: Helps hydrate and maintain skin suppleness.,Serum,1485.0,"Rs.1,485.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964002911592_2_jpg.jpg?v=1781089252,https://pk.hemaniherbals.com/products/age-rewind-face-serum-with-10-vitamin-c-hyaluronic-acid-aijaz-aslam,25-36|37-45|45+,female,normal|combination,no,dry and hot|cold and dry,dullness|wrinkles,mild|moderate
Brightening Facial Scrub with Apricot & Walnut 150ml,Apricot Extract: Supports skin conditioning; Walnut Extract: Assists exfoliation,Scrub,730.0,Rs.730.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/5907747205932_1_jpg_c4715697-40d5-47e0-aae9-7f931870ae81.jpg?v=1771266803,https://pk.hemaniherbals.com/products/brightening-facial-scrub-with-apricot-walnut,19-24|25-36,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|hyperpigmentation|open pores|whiteheads / blackheads,mild|moderate
Intensive Care Therapy Aloe Vera 3 in 1 Face Wash + Scrub + Mask Deep Cleansing with Natural Beads,brightening; face scrub; face wash; natural; skin care,Face Wash,1260.0,"Rs.1,260.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001505440_1_jpg.jpg?v=1771268146,https://pk.hemaniherbals.com/products/intensive-care-therapy-aloe-vera-3-in-1-face-wash-scrub-mask-deep-cleansing-with-natural-beads,19-24|25-36,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|open pores|whiteheads / blackheads,mild|moderate
Herbal Beauty Mask Powder - Multani Mitti with Banana,brightening; herbal powder; multani mitti; skin care; supplement; wellness,Mask,420.0,Rs.420.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102066764_1_jpg.jpg?v=1771267588,https://pk.hemaniherbals.com/products/herbal-beauty-mask-powder-multani-mitti-with-banana,14-18|19-24|25-36,female,normal|dry,no,dry and hot|cold and dry,dullness|hyperpigmentation,mild
Herbal Beauty Mask Powder - Multani Mitti with Tomato 200g,brightening; herbal powder; multani mitti; skin care; supplement; tomato; wellness,Mask,420.0,Rs.420.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102066788_1_jpg.jpg?v=1771267592,https://pk.hemaniherbals.com/products/herbal-beauty-mask-powder-multani-mitti-with-tomato,19-24|25-36,female,normal|combination,no,dry and hot|cold and dry,dullness|hyperpigmentation|open pores,mild|moderate
Anti Aging Face Wash 150ml,Rice Bran & Rice Water; Nourishes and brightens.; Green Tea; Removes excess oil and impurities.; Wild Rose & Luffa Fruit; Helps exfoliate; unclog pores and improve skin texture.,Face Wash,720.0,Rs.720.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102815515_1_jpg.jpg?v=1781091132,https://pk.hemaniherbals.com/products/anti-aging-face-wash-150ml,19-24|25-36,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|open pores|dullness|wrinkles,mild|moderate
Retinol Face Serum 30ml,Retinol: Commonly used in night serums.; Niacinamide: Supports even skin appearance.; Squalene: Helps maintain skin moisture.,Serum,1835.0,"Rs.1,835.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102810435_2_jpg_c01eceeb-0861-411d-ac4b-dce87b3dea96.jpg?v=1772002422,https://pk.hemaniherbals.com/products/retinol-face-serum-30ml,19-24|25-36|37-45|45+,female,normal|combination,no,dry and hot|cold and dry,acne|dark spots|dullness|hyperpigmentation|open pores|redness|wrinkles,mild|moderate
Natural Whitening Solutions - Face Serum,Hyaluronic Acid: Helps hydrate and support a smoother; looking texture.; Vitamin C: Supports brightening and helps reduce free radical impact.; Vitamin E and Ferulic Acid: Work together to support antioxidant protection and a more even; looking tone.,Serum,1715.0,"Rs.1,715.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8681475384677_2_jpg.jpg?v=1772095749,https://pk.hemaniherbals.com/products/natural-whitening-solutions-face-serum,19-24|25-36,female,normal|combination,no,"hot and humid (e.g., karachi)|dry and hot",dullness|hyperpigmentation|sun tan,mild|moderate
Lavender Lip Balm,lavender; lip balm; lip care; makeup,Lip Care,440.0,Rs.440.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102060526_1_jpg_c54b3643-6221-49e2-b38b-9c8056455666.jpg?v=1771268266,https://pk.hemaniherbals.com/products/lavender-lip-balm,14-18|19-24|25-36,female,normal|dry,no,dry and hot,dullness|redness,mild
Glow Boost Foaming Face Wash with Vitamin C 150ml,Vitamin C: Supports skin brightness and revitalization.; Gentle Cleansers: Help lift dirt and excess oil.,Face Wash,1630.0,"Rs.1,630.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8681475384172_1_jpg.jpg?v=1771267442,https://pk.hemaniherbals.com/products/glow-boost-foaming-face-wash-with-vitamin-c-150ml,19-24|25-36,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|open pores,mild|moderate
Natural Whitening Solutions Brightening and Whitening Night Cream,Rice Bran Oil: Helps support smooth texture and surface nourishment.; Mulberry Extract: Commonly used in tone; balancing formulas.; Licorice Extract: Known for supporting an even skin appearance.,Cream,3065.0,"Rs.3,065.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8681475384042_2_jpg.jpg?v=1772096552,https://pk.hemaniherbals.com/products/natural-whitening-solutions-brightening-and-whitening-night-cream,19-24|25-36,female,normal|combination,no,dry and hot|cold and dry,dullness|hyperpigmentation,mild|moderate
Hyaluronic Face Serum with Collagen 30ml,Hyaluronic Acid: Supports moisture retention.; Collagen: Helps maintain skin elasticity.; Niacinamide: Supports even; looking tone.,Serum,1835.0,"Rs.1,835.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102810428_1_jpg_9df4be76-50a1-4c80-9906-b6b8bad1ab4d.jpg?v=1771268078,https://pk.hemaniherbals.com/products/hyaluronic-face-serum-with-collagen-30ml,19-24|25-36|37-45,female,normal|combination,no,dry and hot|cold and dry,dullness|wrinkles,mild|moderate
WB Hand & Foot Brightening Cream 150ml,150ml; 50ml; body care; brightening; foot care; skin care,Cream,2175.0,"Rs.2,175.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102810404_1_jpg_ffc52177-0bca-47d1-bb4a-84148232e198.jpg?v=1771269766,https://pk.hemaniherbals.com/products/wb-hand-foot-brightening-cream-150ml,19-24|25-36,female,normal|dry,no,dry and hot|cold and dry,dark spots|dullness|hyperpigmentation,mild|moderate
Smoothing Facial Scrub with Berry Burst 150ml,Strawberry Extract: Supports skin freshness; Raspberry Extract: Helps improve skin appearance; Goji Berry Extract: Known for antioxidant properties,Scrub,730.0,Rs.730.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/5907747205949_1_jpg_46110541-9211-4758-92c2-c5b0f1ecd310.jpg?v=1771269466,https://pk.hemaniherbals.com/products/smoothing-facial-scrub-with-berry-burst,19-24|25-36,female,normal|oily,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|open pores|redness,mild|moderate
Nourishing Argan Face Wash 100ml,Argan Oil; Moisture; supporting cleansers,Face Wash,330.0,Rs.330.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8697428817017_1_jpg.jpg?v=1771268614,https://pk.hemaniherbals.com/products/nourishing-argan-face-wash-100ml,19-24|25-36,female,normal|dry,no,dry and hot,dullness|normal skin maintenance,mild
Herbal Beauty Mask Powder - Orange Peel,brightening; herbal powder; skin care; supplement; wellness,Mask,805.0,Rs.805.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102067303_1_jpg.jpg?v=1771267593,https://pk.hemaniherbals.com/products/herbal-beauty-mask-powder-orange-peel,19-24|25-36,female,normal|combination,no,dry and hot,dullness|hyperpigmentation,mild|moderate
Cucumber & Aloe Vera Noodle Soap 100gm,100g; aloe vera; body care; cucumber; daily care; noodle soap; soap,Soap,325.0,Rs.325.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964000736227_2_jpg.jpg?v=1772100274,https://pk.hemaniherbals.com/products/cucumber-aloe-vera-noodle-soap-100gm,19-24|25-36,female,normal|dry,no,dry and hot,dullness|redness,mild
Age Control Night Cream,Moisture-binding and skin-supporting actives,Cream,1670.0,"Rs.1,670.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001507598_2_jpg_8f177e70-3d38-4159-b228-22132e09e3f0.jpg?v=1781089197,https://pk.hemaniherbals.com/products/age-control-night-cream,25-36|37-45|45+,female,normal|dry,no,dry and hot|cold and dry,dullness|wrinkles,mild|moderate
Age Control Day Cream 100ml,Moisture-binding humectants.,Cream,1665.0,"Rs.1,665.00",https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8964001507567_2_jpg_c7330cbb-2f22-4a8d-ab35-ee96df44dbe7.jpg?v=1781089143,https://pk.hemaniherbals.com/products/age-control-day-cream,25-36|37-45|45+,female,normal|dry,no,dry and hot|cold and dry,dullness|wrinkles,mild|moderate
AHA Clarifying & Exfoliating Face Wash 150ml,Lactic & Malic Acids – gentle AHAs for exfoliation and texture improvement.; Chamomile Extract – calms and soothes skin.; Grape & Calendula Extracts – support elasticity and hydration.,Face Wash,720.0,Rs.720.00,https://cdn.shopify.com/s/files/1/0977/3495/1226/files/8961102815522_1_jpg.jpg?v=1781089301,https://pk.hemaniherbals.com/products/aha-clarifying-exfoliating-face-wash-150ml,19-24|25-36,female,normal|combination,no,"hot and humid (e.g., karachi)|dry and hot",acne|dullness|open pores|redness,mild|moderate
